perfil,anuncios,adr,receita_annual_60,preco,roi,payback
Studio/1q,136,433.9452773569085,95034.01574116296,890000.0,10.78192707619871,9.274845939389483
2q,345,483.43023255813955,105871.22093023256,1075000.0,10.703987004103967,9.34231328584942
3q+,491,735.7227722772277,161123.28712871287,2499270.0,6.555881328426468,15.253479279192787
