airbnb_listing_id,number_of_bedrooms,number_of_bathrooms,number_of_guests,listing_type,owner_id,suburb_norm,perfil,noites,receita_bruta,adr,adr_mediana,data_min,data_max,receita_anual_potencial,receita_anual_60,is_superhost
902324773092897293,3,2.0,6,apartamento,327796301,Meia Praia,3q+,13,28407.5,1235.108695652174,1250.0,2025-01-09,2025-01-23,450814.6739130435,270488.8043478261,True
12490354,3,2.0,6,apartamento,67622278,Centro,3q+,63,47155.9774,748.5075777777778,749.0,2025-02-02,2025-04-05,273205.2658888889,163923.15953333335,True
731853350375474350,2,2.0,6,apartamento,356647485,Morretes,2q,34,23987.5,705.5147058823529,700.0,2025-01-25,2025-04-20,257512.86764705883,154507.7205882353,False
725205326528652381,3,2.0,7,casa,481247844,Meia Praia,3q+,5,3000.0,600.0,600.0,2025-01-27,2025-01-31,219000.0,131400.0,True
47802450,2,1.0,5,casa,194347953,Ilhota,2q,29,6089.0,209.9655172413793,210.0,2025-02-25,2025-04-09,76637.41379310345,45982.448275862065,True
53738511,2,1.0,5,apartamento,25984866,Meia Praia,2q,64,89472.0,466.0,466.0,2025-01-27,2025-03-31,170090.0,102054.0,True
963916345061155113,3,3.0,13,apartamento,378513320,Meia Praia,3q+,35,142886.8501,1360.827143809524,1460.0,2025-02-01,2025-03-31,496701.9074904762,298021.1444942857,True
1247028916537033972,4,6.0,12,casa,227595936,Centro,3q+,75,132133.0,1761.7733333333333,1700.0,2025-01-12,2025-04-07,643047.2666666666,385828.3599999999,False
1274055523929375490,1,1.0,2,apartamento,227777128,Meia Praia,Studio/1q,91,135945.4167,606.8991816964286,545.0,2025-01-08,2025-04-20,221518.20131919644,132910.92079151786,False
1083301106167776779,3,2.0,8,apartamento,556178978,Morretes,3q+,30,34200.0,481.6901408450704,477.0,2025-03-06,2025-04-16,175816.9014084507,105490.14084507042,True
46990438,2,3.0,6,apartamento,147977024,Centro,2q,60,92488.2,531.5413793103448,600.0,2025-01-31,2025-03-31,194012.60344827586,116407.5620689655,False
45513430,3,2.0,8,apartamento,346468115,Meia Praia,3q+,89,69680.0,782.9213483146067,780.0,2025-01-22,2025-04-20,285766.2921348314,171459.77528089884,False
1315954985293478319,1,1.0,4,apartamento,227777128,Centro,Studio/1q,102,211030.0,811.6538461538462,950.0,2025-01-09,2025-04-20,296253.6538461539,177752.1923076923,False
850931966820064700,3,3.0,7,apartamento,55677212,Meia Praia,3q+,59,106456.0001,812.6412221374046,720.0,2025-01-27,2025-04-20,296614.0460801527,177968.4276480916,True
23779860,3,2.0,12,apartamento,178410302,Meia Praia,3q+,32,13000.0,406.25,300.0,2025-01-25,2025-04-17,148281.25,88968.75,False
53733977,2,2.0,4,apartamento,8792221,Meia Praia,2q,38,41123.0,419.6224489795918,350.0,2025-01-16,2025-03-31,153162.193877551,91897.3163265306,True
31059537,3,2.0,8,apartamento,232011444,Centro,3q+,78,150810.4164,837.8356466666665,830.25,2025-01-11,2025-04-16,305810.0110333333,183486.00661999997,True
670778657683556451,3,4.0,8,apartamento,157399374,Meia Praia,3q+,41,91490.2857,905.8444128712871,744.0,2025-01-22,2025-03-31,330633.2106980198,198379.92641881187,True
1191386301072209798,1,1.0,4,apartamento,227777128,Centro,Studio/1q,73,106767.8334,593.15463,600.0,2025-01-19,2025-04-17,216501.43995,129900.86396999999,False
1208757710030861160,1,1.0,2,apartamento,227777128,Centro,Studio/1q,87,80194.6667,389.2944985436893,372.0,2025-01-24,2025-04-20,142092.4919684466,85255.49518106795,False
47172145,3,3.0,9,apartamento,337026052,Centro,3q+,74,112838.9999,623.4198889502762,700.0,2025-01-13,2025-04-19,227548.2594668508,136528.9556801105,False
40892344,3,2.0,8,apartamento,318477256,Meia Praia,3q+,60,62809.8,424.39054054054054,419.0,2025-01-27,2025-04-20,154902.5472972973,92941.52837837838,True
795757968903961791,2,1.0,3,apartamento,312939718,Casa Branca,2q,73,26041.5,356.7328767123288,350.0,2025-01-24,2025-04-06,130207.50000000001,78124.5,False
35481220,3,3.0,6,apartamento,232585108,Meia Praia,3q+,84,171272.10409,754.5026611894274,700.0,2025-01-07,2025-03-31,275393.471334141,165236.08280048458,False
29145061,2,2.0,6,apartamento,115154732,Meia Praia,2q,56,24615.2,439.5571428571429,500.0,2025-01-08,2025-04-05,160438.35714285716,96263.0142857143,True
1274533646308060247,2,2.0,4,apartamento,227777128,Morretes,2q,86,141295.8332,625.2028017699115,601.25,2025-01-25,2025-04-20,228199.0226460177,136919.41358761062,False
48109229,2,2.0,6,apartamento,231414872,Meia Praia,2q,73,70828.0,549.0542635658915,480.0,2025-02-07,2025-04-20,200404.80620155038,120242.88372093023,False
778933432062496662,3,4.0,6,apartamento,192377194,Meia Praia,3q+,73,194223.3666,1027.6368603174603,990.0,2025-01-18,2025-04-20,375087.454015873,225052.47240952382,False
47909482,3,3.0,12,apartamento,383909653,Meia Praia,3q+,67,160156.986,920.4424482758621,1000.0,2025-01-15,2025-04-17,335961.49362068967,201576.8961724138,True
1052490589225547467,3,2.0,8,apartamento,551342508,Meia Praia,3q+,67,123421.9583,709.3215994252873,719.125,2025-02-13,2025-04-20,258902.38379022988,155341.43027413794,True
801611117719633492,2,2.0,6,apartamento,437109458,Meia Praia,2q,67,78436.0,478.2682926829268,400.0,2025-01-21,2025-04-20,174567.92682926828,104740.75609756097,False
40023421,2,2.0,6,apartamento,287180792,Morretes,2q,99,108286.5,479.1438053097345,500.0,2025-01-12,2025-04-20,174887.48893805308,104932.49336283184,False
1282585098065467787,1,1.0,2,apartamento,227777128,Centro,Studio/1q,65,66704.1667,399.4261479041916,382.0,2025-01-12,2025-04-20,145790.54398502994,87474.32639101797,False
798609957167332367,2,2.0,6,apartamento,494667426,Meia Praia,2q,72,48700.0,676.3888888888889,700.0,2025-01-20,2025-04-07,246881.94444444447,148129.1666666667,False
46011731,3,2.0,8,apartamento,133520764,Meia Praia,3q+,21,12755.0,607.3809523809524,590.0,2025-02-12,2025-04-06,221694.04761904763,133016.42857142858,True
1207992119242235910,1,1.0,2,apartamento,227777128,Centro,Studio/1q,89,86209.1667,390.0867271493213,374.5,2025-01-11,2025-04-20,142381.65540950227,85428.99324570136,False
51453135,3,2.0,8,apartamento,65096237,Meia Praia,3q+,91,124597.0,659.2433862433862,680.0,2025-01-12,2025-04-20,240623.83597883597,144374.30158730157,True
41227471,3,2.0,7,apartamento,323588415,Meia Praia,3q+,81,141826.5,685.1521739130435,610.0,2025-01-11,2025-04-20,250080.54347826086,150048.3260869565,True
16105751,2,2.0,4,apartamento,104998472,Centro,2q,31,19677.0,273.2916666666667,250.0,2025-01-29,2025-04-17,99751.45833333334,59850.875,True
47000276,3,3.0,8,apartamento,379956579,Meia Praia,3q+,42,62434.0,630.6464646464647,500.0,2025-02-16,2025-04-20,230185.9595959596,138111.57575757575,False
31543199,3,3.0,7,apartamento,151579579,Meia Praia,3q+,44,81114.25,772.5166666666667,700.0,2025-02-27,2025-04-20,281968.5833333333,169181.15,False
1277103969415516416,2,2.0,8,apartamento,658741691,Morretes,2q,54,24516.33334,454.006172962963,470.0,2025-02-03,2025-04-20,165712.2531314815,99427.35187888889,True
1216602433904805187,1,1.0,4,apartamento,227777128,Centro,Studio/1q,85,122471.1667,600.348856372549,607.0,2025-01-15,2025-04-20,219127.33257598037,131476.3995455882,False
32371924,3,2.0,8,apartamento,242932189,Centro,3q+,33,37246.0,517.3055555555555,488.0,2025-01-25,2025-04-19,188816.52777777778,113289.91666666667,True
622878708674009200,2,2.0,8,apartamento,302118000,Meia Praia,2q,74,49340.0,666.7567567567568,650.0,2025-01-25,2025-04-20,243366.2162162162,146019.72972972973,False
725867973010290782,2,2.0,6,apartamento,269489781,Meia Praia,2q,66,84438.5,499.6360946745562,490.0,2025-01-09,2025-04-20,182367.17455621302,109420.30473372781,True
32766950,2,2.0,6,apartamento,246441773,Centro,2q,48,15400.0,320.8333333333333,300.0,2025-01-21,2025-04-20,117104.16666666666,70262.49999999999,False
10266012,1,1.0,2,outros,52781602,Morretes,Studio/1q,58,7032.5,121.25,125.0,2025-02-01,2025-04-07,44256.25,26553.75,True
1249919049392818339,1,1.0,2,apartamento,227777128,Meia Praia,Studio/1q,91,133818.4167,602.7856608108108,545.0,2025-01-10,2025-04-20,220016.76619594594,132010.05971756755,False
46936020,2,2.0,6,apartamento,219453957,Morretes,2q,54,21505.0,398.24074074074076,380.0,2025-01-25,2025-03-31,145357.87037037036,87214.72222222222,True
1005860682746801029,2,2.0,6,apartamento,542591363,Morretes,2q,75,51119.0,399.3671875,385.0,2025-01-30,2025-04-20,145769.0234375,87461.4140625,True
21025393,3,3.0,6,apartamento,112557986,Meia Praia,3q+,36,59998.3333,740.7201641975308,750.0,2025-02-15,2025-04-20,270362.85993209877,162217.71595925925,False
1042032092670718662,1,1.0,4,apartamento,381365841,Meia Praia,Studio/1q,29,29629.0,411.5138888888889,402.0,2025-01-27,2025-04-11,150202.56944444447,90121.54166666667,False
1197195878719681680,1,1.0,3,apartamento,227777128,Centro,Studio/1q,76,75718.16674,400.62522084656086,384.0,2025-01-12,2025-04-20,146228.20560899473,87736.92336539684,False
1304403734260231676,2,2.0,4,apartamento,227777128,Tabuleiro Dos Oliveiras,2q,101,155620.5,643.0599173553719,641.625,2025-01-06,2025-04-20,234716.86983471076,140830.12190082646,False
1182018398755268829,2,1.0,6,apartamento,227777128,Centro,2q,73,126586.25,711.1587078651686,644.0,2025-01-14,2025-04-20,259572.92837078654,155743.75702247192,False
1011115904222911872,3,2.0,6,apartamento,155757223,Meia Praia,3q+,79,165155.9167,809.5878269607844,700.0,2025-01-14,2025-04-17,295499.5568406863,177299.73410441176,True
32990586,3,2.0,6,apartamento,110658212,Meia Praia,3q+,85,209824.6667,1008.7724360576923,1026.0,2025-01-26,2025-04-20,368201.9391610577,220921.1634966346,False
21454457,2,1.0,5,apartamento,66944699,Meia Praia,2q,15,6138.0,211.6551724137931,172.0,2025-02-19,2025-04-20,77254.13793103448,46352.48275862069,True
828036946101813387,2,2.0,6,apartamento,234835187,Morretes,2q,24,22007.08333,360.77185786885246,270.0,2025-03-01,2025-04-20,131681.72812213114,79009.03687327869,True
1063807278503566143,2,2.0,6,apartamento,490112565,Centro,2q,67,77892.0,486.825,485.0,2025-01-29,2025-04-17,177691.125,106614.675,True
38616586,3,2.0,8,apartamento,250182151,Meia Praia,3q+,38,14118.83332,371.54824526315787,367.0,2025-02-23,2025-04-06,135615.10952105263,81369.06571263158,False
628897724940732017,4,3.0,10,apartamento,116554837,Meia Praia,3q+,25,24225.0,969.0,975.0,2025-02-02,2025-03-09,353685.0,212211.0,False
53325047,2,2.0,6,apartamento,55597690,Meia Praia,2q,50,63702.0,478.9624060150376,450.0,2025-01-24,2025-04-20,174821.2781954887,104892.76691729322,True
873255393900331818,3,2.0,6,apartamento,416640660,Meia Praia,3q+,79,148616.0,735.7227722772277,584.33335,2025-02-01,2025-04-20,268538.8118811881,161123.28712871287,True
53113087,3,2.0,8,apartamento,107291237,Meia Praia,3q+,57,69678.16684,553.0013241269842,650.0,2025-01-30,2025-04-20,201845.48330634923,121107.28998380953,False
1197121947398131654,1,1.0,2,apartamento,227777128,Centro,Studio/1q,73,66880.25,398.0967261904762,383.0,2025-01-07,2025-04-20,145305.30505952382,87183.18303571429,False
53815397,1,1.0,2,apartamento,101494197,Alto Sao Bento,Studio/1q,72,17720.0,246.11111111111111,180.0,2025-01-22,2025-04-07,89830.55555555556,53898.333333333336,True
22190101,2,1.0,7,apartamento,9506232,Meia Praia,2q,46,30808.35834,277.5527778378378,250.0,2025-02-24,2025-04-20,101306.76391081081,60784.05834648648,False
800942299109284552,2,2.0,5,apartamento,170835881,Morretes,2q,55,43314.5,323.2425373134328,300.0,2025-02-04,2025-04-19,117983.52611940297,70790.11567164178,True
1181971107577983158,1,1.0,2,apartamento,227777128,Centro,Studio/1q,81,77628.4167,388.1420835,372.0,2025-01-16,2025-04-20,141671.8604775,85003.11628650001,False
781223884036842600,2,2.0,5,apartamento,109217314,Meia Praia,2q,62,22615.0,364.758064516129,337.5,2025-02-11,2025-04-17,133136.6935483871,79882.01612903226,True
913929715874853789,4,3.0,9,apartamento,244081776,Meia Praia,3q+,68,156818.1666,974.0258795031056,899.0,2025-01-15,2025-04-20,355519.44601863355,213311.66761118014,True
22421606,2,1.0,11,casa,20614599,Morretes,2q,47,52896.0,440.8,361.0,2025-01-12,2025-04-17,160892.0,96535.2,False
681894806923375678,3,4.0,8,apartamento,157399374,Meia Praia,3q+,39,82461.4168,770.667446728972,648.0,2025-01-29,2025-03-31,281293.6180560748,168776.17083364486,True
1265161823691467042,1,1.0,4,apartamento,227777128,Centro,Studio/1q,82,131913.8332,640.358413592233,660.0,2025-01-12,2025-04-20,233730.82096116504,140238.492576699,False
978244263452010977,2,1.0,6,apartamento,536628505,Meia Praia,2q,50,65071.5,516.4404761904761,480.0,2025-01-13,2025-04-17,188500.7738095238,113100.46428571428,True
794996321339600522,2,2.0,6,apartamento,367477498,Meia Praia,2q,67,40167.0,427.3085106382979,483.5,2025-01-26,2025-04-20,155967.60638297873,93580.56382978724,False
